datasetid,recordid,record_timestamp,fields.last_updated,fields.ad_station,fields.geo_point_2d,fields.statut_pdc,fields.postal_code,fields.id_pdc,fields.url_description_pdc,geometry.type,geometry.coordinates
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,ccea5501880f2aabf0d6b0d2dd06863c6608413a,2021-05-09T15:45:34.239000+00:00,2021-05-09T15:45:34+00:00,"1 Rue de L'Amiral De Coligny, 75001 Paris","[48.86003, 2.34046]",Disponible,75001,FR*V75*E9001*02*3,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9001*02*3,Point,"[2.34046, 48.86003]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,d69c5a549dbc84a90bcabdc0d365844a3e50e46f,2021-05-09T16:36:35.654000+00:00,2021-05-09T16:36:35+00:00,"101 Avenue Henri Martin, 75016 Paris","[48.8636, 2.27153]",Disponible,75016,FR*V75*E9016*03*1,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9016*03*1,Point,"[2.27153, 48.8636]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,63f5c2a24ac569175b91775b0e255263b897636c,2021-05-09T16:44:14.456000+00:00,2021-05-09T16:44:14+00:00,"104 Rue Louis Lumière, 75020 Paris","[48.863766, 2.41177]",Disponible,75020,FR*V75*E9020*05*3,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9020*05*3,Point,"[2.41177, 48.863766]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,8da970b388028ba5bbcb230320266b2b73837b50,2021-05-09T16:57:57.044000+00:00,2021-05-09T16:57:56+00:00,"104 Rue Louis Lumière, 75020 Paris","[48.863766, 2.41177]",En maintenance,75020,FR*V75*E9020*05*1,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9020*05*1,Point,"[2.41177, 48.863766]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,96cab72f7986edeb35c948d1fd66a13e9a35385f,2021-05-09T16:58:02.164000+00:00,2021-05-09T16:58:01+00:00,"12 Boulevard Emile Augier, 75016 Paris","[48.859184, 2.273944]",Disponible,75016,FR*V75*E9016*07*1,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9016*07*1,Point,"[2.273944, 48.859184]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,1c7de6c469cd844f7e043eda89790076aa7d2c38,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"3 Avenue Dutuit, 75008 Paris","[48.8655, 2.315463]",Disponible,75008,FR*V75*E9008*01*1,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9008*01*1,Point,"[2.315463, 48.8655]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,d4bc5855968a9a9a6afbd37a228ca11cae4f6144,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"4 Avenue Parmentier, 75011 Paris","[48.85895, 2.379874]",Disponible,75011,FR*V75*E9011*01*3,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9011*01*3,Point,"[2.379874, 48.85895]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,afdccba04cf25b93de456a482a38deecd64063fd,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"3 Avenue Claude Régaud, 75013 Paris","[48.822433, 2.372971]",En maintenance,75013,FR*V75*E9013*01*2,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9013*01*2,Point,"[2.372971, 48.822433]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,ae198a9f715d1c2087beecf8436ba67f3c9b4a7a,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"16/18 Avenue du Maine, 75015 Paris","[48.843754, 2.320272]",Disponible,75015,FR*V75*E9015*02*3,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9015*02*3,Point,"[2.320272, 48.843754]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,ca08ec8d9b162ebcf3bb054a81c60a641d915925,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"45 Avenue Victor Hugo, 75016 Paris","[48.871464, 2.289894]",Disponible,75016,FR*V75*E9016*06*3,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9016*06*3,Point,"[2.289894, 48.871464]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,733a2c009a0097e7b07936548d5374c39e931eb8,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"9 Boulevard Bourdon, 75004 Paris","[48.848423, 2.366004]",En cours de mise en service,75004,FR*V75*EPX04*04*6,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX04*04*6,Point,"[2.366004, 48.848423]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,4cacbfa774d4c47a61628f83d6cefe1a543ebb3c,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"21 Quai de la Tournelle, 75005 Paris","[48.850033, 2.354431]",En cours de mise en service,75005,FR*V75*EPX05*01*3,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX05*01*3,Point,"[2.354431, 48.850033]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,e19dc04d898020b10b4b5b150903a744e3ded2fb,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"1 Rue Pierre Chausson, 75010 Paris","[48.87026, 2.3600461]",En cours de mise en service,75010,FR*V75*EPX10*01*1,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX10*01*1,Point,"[2.3600461, 48.87026]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,9df9959557d12a00c2c23a40b83631db7fdd6f2a,2021-05-09T13:20:33.290000+00:00,2021-05-09T13:20:33+00:00,"145 Rue de Tolbiac, 75013 Paris","[48.82604, 2.358146]",Disponible,75013,FR*V75*E9013*05*1,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9013*05*1,Point,"[2.358146, 48.82604]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,6545a42f1369d905242c756b90f9a0efdc8ce0cd,2021-05-09T14:16:31.622000+00:00,2021-05-09T14:16:31+00:00,"52 Rue Étienne Marcel, 75002 Paris","[48.865788, 2.342244]",Disponible,75002,FR*V75*E9002*03*1,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9002*03*1,Point,"[2.342244, 48.865788]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,7fc75bbd32a4b69ce7e037b6fa79e499de92292b,2021-05-09T15:26:31.475000+00:00,2021-05-09T15:26:31+00:00,"18 Avenue Emile Zola, 75015 Paris","[48.846214, 2.279884]",Disponible,75015,FR*V75*E9015*01*1,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9015*01*1,Point,"[2.279884, 48.846214]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,b3f30181dfe3ff69ac7fd9388ccdcebc7d963700,2021-05-09T15:28:17.758000+00:00,2021-05-09T15:28:17+00:00,"4 Avenue Gourgaud, 75017 Paris","[48.88569, 2.297463]",En maintenance,75017,FR*V75*E9017*03*1,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9017*03*1,Point,"[2.297463, 48.88569]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,f42908d621a6ca874f2ca263a9ad35dad2b79a5e,2021-05-09T15:49:21.835000+00:00,2021-05-09T15:49:21+00:00,"17 Place du Panthéon, 75005 Paris","[48.845715, 2.345032]",Disponible,75005,FR*V75*E9005*01*2,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9005*01*2,Point,"[2.345032, 48.845715]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,4475f77e1b5258db665a6a6602a9ff95a494d7fa,2021-05-09T15:54:31.892000+00:00,2021-05-09T15:54:31+00:00,"3 Avenue du General Dodds, 75012 Paris","[48.834084, 2.405248]",Disponible,75012,FR*V75*E9012*01*3,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9012*01*3,Point,"[2.405248, 48.834084]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,93054f88d1dc2e381bc9d5e57e12daa72d9d399e,2021-05-09T16:02:16.345000+00:00,2021-05-09T16:02:16+00:00,"2 Rue Chardon Lagache, 75016 Paris","[48.84676, 2.268339]",Occupé (en charge),75016,FR*V75*E9016*09*1,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9016*09*1,Point,"[2.268339, 48.84676]"
